rebalance_date,next_date,period_return,net_return,turnover,transaction_cost,kospi_return,kosdaq_return,n_gate,n_stocks,hard_passed,stability_passed,screener_passed,momentum_passed
2015-04-03,2015-08-19,0.0,0.0,0.0,0.0,-0.05184265334258975,0.019011002370676433,0,0,0,0,,0
2015-08-19,2016-04-05,0.0,0.0,0.0,0.0,0.012045086574059782,0.03750652449481784,0,0,0,0,,0
2016-04-05,2016-08-18,0.12642578774312904,0.12292578774312904,1.0,0.0035,0.04724517765980196,0.0017680034497626895,1540,13,1332,526,,273
2016-08-18,2017-04-05,0.020588783059883195,0.01233493690603704,0.8461538461538463,0.008253846153846155,0.051268079806565,-0.09579154290961789,1511,13,1349,1177,,686
2017-04-05,2017-08-18,0.03511974875693458,0.02663513337231919,0.8461538461538463,0.008484615384615386,0.09140847351736592,0.021279972071028608,1628,13,1407,562,,274
2017-08-18,2018-04-04,0.11206809962217892,0.10381425346833277,0.8461538461538463,0.008253846153846155,0.021069637079847547,0.3401752695857545,1591,13,1392,554,,267
2018-04-04,2018-08-20,-0.030513488689737602,-0.0374134886897376,0.6923076923076923,0.0069,-0.0665182761226879,-0.10751179696467295,1710,13,1475,508,,236
2018-08-20,2019-04-03,0.007268111034324826,-0.00030881204259825164,0.7692307692307693,0.0075769230769230774,-0.019845365410965043,-0.026605004027124624,1688,13,1413,547,,174
2019-04-03,2019-08-20,-0.09864778441943245,-0.10701701518866322,0.8461538461538463,0.00836923076923077,-0.11029969091395975,-0.18989723742159348,1769,13,1503,499,,293
2019-08-20,2020-04-03,-0.23898705348817886,-0.24735628425740963,0.8461538461538463,0.00836923076923077,-0.11978574161458999,-0.056012256799723215,1771,13,1534,566,,195
2020-04-03,2020-08-20,0.5989978348866464,0.5899516810404926,0.9230769230769231,0.009046153846153846,0.3180522069732936,0.38067398474721204,1846,13,1655,577,,65
2020-08-20,2021-04-05,0.4926077833783808,0.48402316799376544,0.9230769230769231,0.008584615384615385,0.37226389707240304,0.2257881032434208,1855,13,1700,641,,357
2021-04-05,2021-08-19,0.2127983816044245,0.20545222775827066,0.7692307692307693,0.007346153846153847,-0.007369834306899081,0.022046464625632867,1914,13,1769,651,,512
2021-08-19,2022-04-05,0.02993306929334215,0.02529460775488061,0.46153846153846156,0.004638461538461538,-0.10931200227255855,-0.039025374564899296,1942,13,1821,722,,349
2022-04-05,2022-08-18,-0.06750597053721577,-0.07452135515260039,0.6923076923076923,0.007015384615384616,-0.0910227602203536,-0.13271809085850483,1998,13,1834,660,,283
2022-08-18,2023-04-05,0.06532507127453355,0.057071225120687394,0.8461538461538463,0.008253846153846155,-0.005119515161181032,0.05604919739486247,2035,13,1821,673,,156
2023-04-05,2023-08-18,-0.08558798696620773,-0.09407260235082311,0.8461538461538463,0.008484615384615386,0.00372313352383169,0.005685726076390507,2059,13,1876,611,,344
2023-08-18,2024-04-03,0.08104195655001413,0.07425734116539874,0.6923076923076923,0.0067846153846153855,0.08084248352964662,0.0030091642730132317,2126,13,1915,732,,283
2024-04-03,2024-08-20,-0.02882002375094785,-0.03515848528940939,0.6153846153846154,0.006338461538461539,-0.0038197689667782697,-0.10514114277921727,2227,13,1856,665,,310
2024-08-20,2025-04-03,0.08511490806269056,0.07968413883192134,0.5384615384615385,0.005430769230769231,-0.07784901896070295,-0.13201005790917408,2305,13,1880,742,,253
2025-04-03,2025-08-20,0.3041339881286336,0.29814168043632594,0.6153846153846154,0.005992307692307693,0.25873245666948175,0.1377050139724063,2366,13,1777,622,,198
2025-08-20,2026-04-03,0.18999571728604772,0.18151110190143233,0.8461538461538463,0.008484615384615386,0.7179378228741027,0.3679736628901378,2427,13,1983,696,,414
2026-04-03,2026-08-29,0.005257743841922695,-0.00017302538884653596,0.5384615384615385,0.005430769230769231,0.26250720621873436,-0.21183548766157467,2412,13,2026,648,,362
