종목코드,종목명,마지막행_날짜,마지막행_상태,직전30일_정지행수,상장폐지일,분류
45014K,코오롱모빌리티그룹우,2026-01-06,susp,14,2026-01-07,정지행으로 종료 → 상폐
054630,에이디칩스,2025-12-29,normal,13,2025-12-30,정상거래에서 급정지 → 상폐
448760,IBKS제22호스팩,2025-12-26,susp,10,2025-12-29,정지행으로 종료 → 상폐
266870,?,2025-12-26,normal,14,2025-12-29,정상거래에서 급정지 → 상폐
456700,?,2025-12-15,susp,16,2025-12-16,정지행으로 종료 → 상폐
010620,HD현대미포,2025-12-12,susp,12,2025-12-15,정지행으로 종료 → 상폐
335890,비올,2025-12-09,normal,15,2025-12-10,정상거래에서 급정지 → 상폐
102280,쌍방울,2025-11-27,normal,15,2025-11-28,정상거래에서 급정지 → 상폐
014200,광림,2025-11-25,normal,15,2025-11-26,정상거래에서 급정지 → 상폐
151910,퓨처코어,2025-11-25,normal,15,2025-11-26,정상거래에서 급정지 → 상폐
006390,한일현대시멘트,2025-11-20,susp,16,2025-11-21,정지행으로 종료 → 상폐
442770,IBKS제21호스팩,2025-11-14,susp,17,2025-11-17,정지행으로 종료 → 상폐
448370,하나27호스팩,2025-11-12,normal,1,2025-11-13,정상거래에서 급정지 → 상폐
454750,하나28호스팩,2025-10-24,susp,12,2025-10-27,정지행으로 종료 → 상폐
091090,세원이앤씨,2025-10-24,normal,10,2025-10-27,정상거래에서 급정지 → 상폐
442900,미래에셋드림스팩1호,2025-10-22,normal,1,2025-10-23,정상거래에서 급정지 → 상폐
446750,하나26호스팩,2025-10-15,normal,1,2025-10-16,정상거래에서 급정지 → 상폐
448740,삼성스팩8호,2025-10-13,normal,1,2025-10-14,정상거래에서 급정지 → 상폐
449020,유안타제13호스팩,2025-10-02,normal,1,2025-10-10,정상거래에서 급정지 → 상폐
005390,신성통상,2025-09-29,normal,14,2025-09-30,정상거래에서 급정지 → 상폐
010420,한솔PNS,2025-09-24,susp,15,2025-09-25,정지행으로 종료 → 상폐
093230,이아이디,2025-09-10,normal,14,2025-09-11,정상거래에서 급정지 → 상폐
096040,이트론,2025-09-09,normal,14,2025-09-10,정상거래에서 급정지 → 상폐
024810,이화전기,2025-09-09,normal,14,2025-09-10,정상거래에서 급정지 → 상폐
446190,미래에셋비전스팩2호,2025-09-08,susp,17,2025-09-09,정지행으로 종료 → 상폐
019590,에스유앤피,2025-09-05,normal,14,2025-09-08,정상거래에서 급정지 → 상폐
430220,신영스팩8호,2025-08-21,susp,14,2025-08-22,정지행으로 종료 → 상폐
044060,조광ILI,2025-08-20,normal,14,2025-08-21,정상거래에서 급정지 → 상폐
290380,대유,2025-08-20,normal,14,2025-08-21,정상거래에서 급정지 → 상폐
000075,삼양홀딩스우,2025-08-19,susp,12,2025-08-20,정지행으로 종료 → 상폐
086460,?,2025-08-18,normal,13,2025-08-19,정상거래에서 급정지 → 상폐
289860,?,2025-08-13,susp,14,2025-08-14,정지행으로 종료 → 상폐
445970,신영스팩9호,2025-07-31,normal,1,2025-08-01,정상거래에서 급정지 → 상폐
049770,동원F&B,2025-07-30,susp,15,2025-07-31,정지행으로 종료 → 상폐
445360,비엔케이제1호스팩,2025-07-25,normal,1,2025-07-28,정상거래에서 급정지 → 상폐
950110,SBI핀테크솔루션즈,2025-07-23,normal,12,2025-07-24,정상거래에서 급정지 → 상폐
440820,엔에이치스팩27호,2025-07-18,normal,1,2025-07-21,정상거래에서 급정지 → 상폐
000885,한화우,2025-07-14,normal,3,2025-07-15,정상거래에서 급정지 → 상폐
023460,CNH,2025-07-11,normal,15,2025-07-14,정상거래에서 급정지 → 상폐
442310,대신밸런스제14호스팩,2025-07-10,normal,1,2025-07-11,정상거래에서 급정지 → 상폐
