규칙,판정가능_n,통과_n,결측통과_n,결측통과_비율_%
R1,1349,1181,0,0.0
R2,1349,1277,0,0.0
R3,0,1349,1349,100.0
R4,0,1349,1349,100.0
R5,0,1349,1349,100.0
R6,0,0,1349,100.0
