구간,L1_상이,L2_상이,L3_상이
2016-04-05,0,0,0
2016-08-18,0,0,0
2017-04-05,0,0,0
2017-08-18,0,0,0
2018-04-04,0,0,0
2018-08-20,0,0,0
2019-04-03,0,0,0
2019-08-20,0,0,0
2020-04-03,0,0,0
2020-08-20,0,0,0
2021-04-05,0,0,0
2021-08-19,0,0,0
2022-04-05,0,0,0
2022-08-18,0,0,0
2023-04-05,0,0,0
2023-08-18,0,0,0
2024-04-03,0,0,0
2024-08-20,0,0,0
2025-04-03,0,0,0
2025-08-20,0,0,0
2026-04-03,0,0,0
