date,nav_gross,nav_net
2016-04-05,1.0,0.9932
2016-04-06,1.0109874476302192,1.0041127329863337
2016-04-07,1.0149979994492713,1.008096013053016
2016-04-08,1.0153590370448553,1.0084545955929503
2016-04-11,1.0313721305506507,1.0243588000629062
2016-04-12,1.0398993742827245,1.032828058537602
2016-04-14,1.0536516804805318,1.0464868490532642
2016-04-15,1.0580239900868995,1.0508294269543086
2016-04-18,1.0564181962323187,1.049234552497939
2016-04-19,1.07811333392646,1.07078216325576
2016-04-20,1.0877385610030228,1.0803419387882023
2016-04-21,1.0913926346337046,1.0839711647181953
2016-04-22,1.098770457892276,1.0912988187786083
2016-04-25,1.0935966871814389,1.086160229708605
2016-04-26,1.087384170422157,1.0799899580632863
2016-04-27,1.0864339549528703,1.0790462040591908
2016-04-28,1.0803490900681236,1.0730027162556603
2016-04-29,1.0841521126143983,1.0767798782486204
2016-05-02,1.0636318492799899,1.056399152704886
2016-05-03,1.0666329445756468,1.0593798405525323
2016-05-04,1.051533779282452,1.0443833495833312
2016-05-09,1.0422241881744503,1.035137063694864
2016-05-10,1.0491288928359914,1.0419948163647066
2016-05-11,1.053997964466363,1.0468307783079918
2016-05-12,1.0514448711384905,1.0442950460147487
2016-05-13,1.0438341063938834,1.036736034470405
2016-05-16,1.0391127420342403,1.0320467753884075
2016-05-17,1.0312417385157924,1.024229294693885
2016-05-18,1.0208856206433587,1.0139435984229839
2016-05-19,1.0098976281933227,1.003030324321608
2016-05-20,1.0091567054102595,1.0022944398134697
2016-05-23,1.0069802409468875,1.0001327753084486
2016-05-24,0.9948637981347848,0.9880987243074681
2016-05-25,1.0120033080365762,1.0051216855419274
2016-05-26,1.006579424297511,0.999734684212288
2016-05-27,1.0076576088294027,1.0008055370893627
2016-05-30,1.0086912381215871,1.0018321377023602
2016-05-31,1.01683546848521,1.0099209872995105
2016-06-01,1.0236642454541975,1.016703328585109
2016-06-02,1.0271137434684785,1.0201293700128928
2016-06-03,1.0343559134526918,1.0273222932412136
2016-06-07,1.0343485946347664,1.0273150241912499
2016-06-08,1.0321272536909254,1.025108788365827
2016-06-09,1.0324127950112703,1.0253923880051936
2016-06-10,1.0374351788158453,1.0303806195998975
2016-06-13,1.025139371059832,1.018168423336625
2016-06-14,1.0261991037138083,1.0192209498085543
2016-06-15,1.0209239088348845,1.0139816262548071
2016-06-16,1.0018914103330028,0.9950785487427384
2016-06-17,1.0128638579110285,1.0059763836772335
2016-06-20,1.0252314448991309,1.0182598710738167
2016-06-21,1.0337797319694186,1.0267500297920265
2016-06-22,1.044205656207513,1.0371050577453018
2016-06-23,1.0365159484139983,1.029467639964783
2016-06-24,0.9857707653380009,0.9790675241337025
2016-06-27,0.9827288129684151,0.9760462570402298
2016-06-28,0.9980708236419924,0.9912839420412268
2016-06-29,1.0138743632249365,1.006980017555007
2016-06-30,1.0175280614571796,1.0106088706392706
2016-07-01,1.0232484373899535,1.0162903480157017
2016-07-04,1.0372342203319453,1.030181027633688
2016-07-05,1.0386669144894531,1.0316039794709249
2016-07-06,1.021037354963698,1.0140943009499448
2016-07-07,1.027815643037669,1.020826496665013
2016-07-08,1.0198476566644727,1.0129126925991543
2016-07-11,1.031381295059961,1.0243679022535532
2016-07-12,1.0360470440449445,1.029001924145439
2016-07-13,1.0505866664096037,1.0434426770780183
2016-07-14,1.048053491437461,1.0409267276956864
2016-07-15,1.0578696374881926,1.050676123953273
2016-07-18,1.0599414842888548,1.0527338821956906
2016-07-19,1.0544185705849602,1.0472485243049825
2016-07-20,1.0532926963223879,1.0461303059873956
2016-07-21,1.050614979578225,1.043470797717093
2016-07-22,1.0504225163731917,1.043279643261854
2016-07-25,1.0507933256998272,1.0436479310850684
2016-07-26,1.0645425857980588,1.057303696214632
2016-07-27,1.0651345422658733,1.0578916273784653
2016-07-28,1.0666474815441989,1.0593942786696984
2016-07-29,1.066849258150788,1.0595946831953627
2016-08-01,1.0750503739448316,1.0677400314020067
2016-08-02,1.0706534916697272,1.063373047926373
2016-08-03,1.0645341770694003,1.0572953446653284
2016-08-04,1.0659070483761666,1.0586588804472086
2016-08-05,1.071143657734018,1.0638598808614268
2016-08-08,1.0722729174847387,1.0649814616458424
2016-08-09,1.0740909638386202,1.0667871452845177
2016-08-10,1.0687031111562577,1.061435930000395
2016-08-11,1.0703985930528412,1.0631198826200818
2016-08-12,1.076561196316961,1.0692405801820057
2016-08-16,1.0713441932689407,1.0640590527547118
2016-08-17,1.0680731743230802,1.0608102767376832
2016-08-18,1.0747383765774798,1.060171630558559
2016-08-19,1.067793373966743,1.0533207588464073
2016-08-22,1.0535441326023578,1.039264648279657
2016-08-23,1.0521050727542693,1.0378450931033754
2016-08-24,1.0595696501778094,1.0452084974360152
2016-08-25,1.0851601113511304,1.0704521116403038
2016-08-26,1.085291295636101,1.07058151788496
2016-08-29,1.052726454139575,1.0384580524345162
2016-08-30,1.0966144615775126,1.0817512123527615
2016-08-31,1.098950590234761,1.0840556776828605
2016-09-01,1.1080332213644488,1.093015205010048
2016-09-02,1.115897487849075,1.1007728811141657
2016-09-05,1.115284178672623,1.100167884583097
2016-09-06,1.1049582058695042,1.0899818675371182
2016-09-07,1.082985252524054,1.0683067303278033
2016-09-08,1.0540157349052286,1.0397298585980994
2016-09-09,1.0590235434184883,1.0446697924766444
2016-09-12,1.0208691570524169,1.007032541506326
2016-09-13,1.0297848192524932,1.0158273629607015
2016-09-19,1.0337695591510232,1.0197580946509843
2016-09-20,1.0483301303281571,1.0341213153409206
2016-09-21,1.0510827170970682,1.0368365942093865
2016-09-22,1.084447100358758,1.0697487646277992
2016-09-23,1.0866382539814292,1.0719102198801458
2016-09-26,1.0817841022161467,1.0671218601228936
2016-09-27,1.0794099076804766,1.064779844850153
2016-09-28,1.0903273023155238,1.0755492677384915
2016-09-29,1.1536515357847001,1.1380152197450426
2016-09-30,1.1262954167672954,1.1110298789993314
2016-10-04,1.1402915749571332,1.124836336620142
2016-10-05,1.1529464736207413,1.1373197138244393
2016-10-06,1.150904844129928,1.1353057560897535
2016-10-07,1.1637442691022077,1.1479711585774208
2016-10-10,1.150171057271195,1.1345819148019947
2016-10-11,1.1444271970517332,1.1289159054854212
2016-10-12,1.1456215371921765,1.1300940578262426
2016-10-13,1.136181972549273,1.1207824347770134
2016-10-14,1.1406608619524072,1.125200618388111
2016-10-17,1.1187882110313043,1.1036244241281565
2016-10-18,1.1297459286824554,1.1144336235041161
2016-10-19,1.1160615289066167,1.1009346987985833
2016-10-20,1.1059588296840441,1.0909689291366256
2016-10-21,1.085515066611564,1.0708022559223267
2016-10-24,1.0760966520433284,1.0615114962847294
2016-10-25,1.0641405529931853,1.0497174473316484
2016-10-26,1.063507882293955,1.0490933516992342
2016-10-27,1.0951121454025823,1.0802692582107103
2016-10-28,1.082801597444837,1.0681255644654528
2016-10-31,1.0383681116557846,1.0242943194787486
2016-11-01,1.044268423006703,1.0301146594256914
2016-11-02,0.9868792951863776,0.9735033700704522
2016-11-03,0.9884268048588717,0.9750299051682476
2016-11-04,1.0024791009644312,0.9888917398249434
2016-11-07,1.029707699934732,1.0157512888996647
2016-11-08,1.0332704894979337,1.019265789268196
2016-11-09,0.9780675177317546,0.9648110253326225
2016-11-10,1.017411519570279,1.0036217680127881
2016-11-11,1.0196004388644166,1.0057810192201535
2016-11-14,1.020758623416043,1.0069235060163315
2016-11-15,1.0228973431966215,1.0090332381022968
2016-11-16,1.0593840376835149,1.0450254006889212
2016-11-17,1.0617832908393097,1.0473921349432633
2016-11-18,1.0596400292821389,1.0452779226388556
2016-11-21,1.0715779318954866,1.0570540217852786
2016-11-22,1.1474943919830642,1.1319415283927796
2016-11-23,1.1676345517094706,1.1518087132278927
2016-11-24,1.1870471496895514,1.1709581975139751
2016-11-25,1.197744432111297,1.1815104915371242
