rebalance_date,next_date,n_stocks,has_delisted,engine_gross,daily_gross,diff_gross,tol_gross,G_NAV_1,engine_tc,recomputed_tc,diff_tc,G_NAV_2,engine_net,daily_net_compound,diff_net,bound_net,G_NAV_4
2016-04-05,2016-08-18,20,False,0.16061392146865178,0.16061392146865172,-5.551115123125783e-17,1e-06,True,0.0035,0.0035,0.0,True,0.15711392146865177,0.1565517727435115,-0.0005621487251402657,0.0005631487251402812,True
2016-08-18,2017-04-05,20,False,0.005877318498235258,0.005877318498235251,-6.938893903907228e-18,1e-06,True,0.008155,0.008155,0.0,True,-0.0022776815017647428,-0.0023256110341178804,-4.792953235313764e-05,4.8929532353108534e-05,True
2017-04-05,2017-08-18,20,False,0.032094393278224394,0.0320943932782245,1.0408340855860843e-16,1e-06,True,0.007940000000000001,0.007940000000000001,0.0,True,0.02415439327822439,0.023899563795595435,-0.0002548294826289557,0.00025582948262910173,True
2017-08-18,2018-04-04,20,False,0.012895634731368016,0.01289563473136801,-5.204170427930421e-18,1e-06,True,0.006910000000000001,0.006910000000000001,0.0,True,0.005985634731368015,0.0058965258953742605,-8.910883599375433e-05,9.010883599375301e-05,True
2018-04-04,2018-08-20,20,False,0.044651680864461224,0.04465168086446103,-1.942890293094024e-16,1e-06,True,0.00941,0.00941,0.0,True,0.03524168086446122,0.034821508547526525,-0.00042017231693469714,0.00042117231693458013,True
2018-08-20,2019-04-03,20,False,-0.053157439267452825,-0.053157439267452866,-4.163336342344337e-17,1e-06,True,0.007425000000000001,0.007425000000000001,0.0,True,-0.060582439267452826,-0.06018774528089199,0.00039469398656083454,0.0003956939865608373,True
2019-04-03,2019-08-20,20,False,-0.13432538913048658,-0.13432538913048653,5.551115123125783e-17,1e-06,True,0.009045000000000001,0.009045000000000001,0.0,True,-0.14337038913048658,-0.14215541598580128,0.0012149731446852996,0.0012159731446852512,True
2019-08-20,2020-04-03,20,False,-0.22298536934646399,-0.22298536934646385,1.3877787807814457e-16,1e-06,True,0.006910000000000001,0.006910000000000001,0.0,True,-0.22989536934646398,-0.22835454044427972,0.0015408289021842658,0.0015418289021840662,True
2020-04-03,2020-08-20,20,False,0.2880527928581689,0.2880527928581693,3.885780586188048e-16,1e-06,True,0.007865,0.007865,0.0,True,0.2801877928581689,0.2779222576423399,-0.0022655352158290065,0.002266535215829499,True
2020-08-20,2021-04-05,20,False,0.6293321810277841,0.6293321810277843,2.220446049250313e-16,1e-06,True,0.009335000000000001,0.009335000000000001,0.0,True,0.6199971810277841,0.61412236511789,-0.005874815909894138,0.005875815909894365,True
2021-04-05,2021-08-19,20,False,0.03086044343724379,0.030860443437243923,1.3183898417423734e-16,1e-06,True,0.009260000000000001,0.009260000000000001,0.0,True,0.02160044343724379,0.021314675731014976,-0.0002857677062288143,0.00028676770622887757,True
2021-08-19,2022-04-05,20,False,0.07435555199994794,0.07435555199994792,-1.3877787807814457e-17,1e-06,True,0.004485,0.004485,0.0,True,0.06987055199994793,0.06953706734922815,-0.0003334846507197786,0.00033448465071976655,True
2022-04-05,2022-08-18,20,False,-0.013009847629138822,-0.013009847629138704,1.1796119636642288e-16,1e-06,True,0.008015000000000001,0.008015000000000001,0.0,True,-0.021024847629138824,-0.020920573700391132,0.00010427392874769181,0.00010527392874754768,True
2022-08-18,2023-04-05,20,False,0.007921892019660846,0.00792189201966087,2.42861286636753e-17,1e-06,True,0.007350000000000001,0.007350000000000001,0.0,True,0.0005718920196608451,0.000513666113316491,-5.8225906344354025e-05,5.922590634450722e-05,True
2023-04-05,2023-08-18,20,False,-0.009653763312637384,-0.009653763312637342,4.163336342344337e-17,1e-06,True,0.007425000000000001,0.007425000000000001,0.0,True,-0.017078763312637385,-0.01700708412004104,7.16791925963467e-05,7.267919259633259e-05,True
2023-08-18,2024-04-03,20,False,0.02735968258863233,0.027359682588632417,8.673617379884035e-17,1e-06,True,0.005805,0.005805,0.0,True,0.02155468258863233,0.021395859631205383,-0.0001588229574269462,0.00015982295742701067,True
2024-04-03,2024-08-20,20,False,-0.024536860348283344,-0.024536860348283396,-5.204170427930421e-17,1e-06,True,0.009045000000000001,0.009045000000000001,0.0,True,-0.033581860348283345,-0.0333599244464331,0.00022193590185024675,0.00022293590185022287,True
2024-08-20,2025-04-03,20,False,0.05119547119891663,0.05119547119891665,2.0816681711721685e-17,1e-06,True,0.00662,0.00662,0.0,True,0.04457547119891663,0.04423655717957997,-0.00033891401933665993,0.0003399140193368281,True
2025-04-03,2025-08-20,20,False,0.3079221100304211,0.30792211003042125,1.6653345369377348e-16,1e-06,True,0.007575,0.007575,0.0,True,0.3003471100304211,0.2980146000469408,-0.00233250998348028,0.00233350998348044,True
2025-08-20,2026-04-03,20,False,0.2908111912526443,0.2908111912526443,0.0,1e-06,True,0.00868,0.00868,0.0,True,0.2821311912526443,0.2796069501125713,-0.0025242411400729914,0.002525241140072953,True
