date,nav_gross,nav_net
2016-04-05,1.0,0.9932
2016-04-06,1.009101985941491,1.0022400924370887
2016-04-07,1.0099761397721094,1.0031083020216591
2016-04-08,1.0078096880806235,1.0009565822016753
2016-04-11,1.0306841242366735,1.0236754721918642
2016-04-12,1.0401366149968176,1.0330636860148392
2016-04-14,1.0526045374678423,1.045446826613061
2016-04-15,1.0508849780829592,1.043738960231995
2016-04-18,1.0479228107634329,1.0407969356502416
2016-04-19,1.0494955195532731,1.0423589500203108
2016-04-20,1.050575612922635,1.043431698754761
2016-04-21,1.0725202351704155,1.0652270975712566
2016-04-22,1.078252930749107,1.0709208108200132
2016-04-25,1.067487967032876,1.0602290488570525
2016-04-26,1.0633314584892346,1.0561008045715077
2016-04-27,1.052989194734071,1.0458288682098793
2016-04-28,1.0542343222895867,1.0470655288980175
2016-04-29,1.0539460180908544,1.0467791851678365
2016-05-02,1.0384733115188738,1.0314116930005455
2016-05-03,1.0390514685007326,1.0319859185149276
2016-05-04,1.0197591967708526,1.0128248342328108
2016-05-09,0.998711634023302,0.9919203949119435
2016-05-10,1.0136580545817535,1.0067651798105977
2016-05-11,1.0150040346087503,1.0081020071734108
2016-05-12,1.0179321040820533,1.0110101657742954
2016-05-13,1.0158792711865876,1.0089712921425187
2016-05-16,1.0203296983980725,1.0133914564489657
2016-05-17,1.0165221161891418,1.0096097657990557
2016-05-18,1.0023191615710019,0.995503391272319
2016-05-19,0.9996502575523335,0.9928526358009776
2016-05-20,1.0050884992569147,0.9982538974619677
2016-05-23,1.0080529118971684,1.0011981520962676
2016-05-24,0.9940157353979876,0.9872564283972812
2016-05-25,1.005529059997561,0.9986914623895776
2016-05-26,1.0062438204537933,0.9994013624747076
2016-05-27,1.011638962498124,1.0047598175531367
2016-05-30,1.0085687883147776,1.0017105205542371
2016-05-31,1.0109919463711268,1.004117201135803
2016-06-01,1.0104385577022645,1.0035675755098892
2016-06-02,1.0121381747935634,1.005255635204967
2016-06-03,1.0135417684045602,1.0066496843794093
2016-06-07,1.025669978330497,1.0186954224778495
2016-06-08,1.0239772431857095,1.0170141979320466
2016-06-09,1.01340429935822,1.0065131501225841
2016-06-10,1.0222890450817639,1.015337479575208
2016-06-13,1.0064784957044741,0.9996344419336837
2016-06-14,1.0033806367396436,0.996557648409814
2016-06-15,1.0084811980268784,1.0016235258802957
2016-06-16,0.9867687635278464,0.980058735935857
2016-06-17,0.9862596730194781,0.9795531072429456
2016-06-20,1.0024369890633666,0.9956204175377357
2016-06-21,1.0021740052943713,0.9953592220583696
2016-06-22,1.0034546647493572,0.9966311730290616
2016-06-23,0.992054019911256,0.9853080525758594
2016-06-24,0.9422381333459351,0.9358309140391827
