구분,추첨수,귀무_median_%,귀무_p95_%,채택안_gross_%,백분위_%,G1_gross,귀무_net_p95_%,채택안_net_%,G1_net
수정 전 (운영 2026-08-15),1000,7.6031,15.4745,20.3329,99.4,PASS,13.4092,18.6891,PASS
수정 후 (섀도우 2026-08-19),1000,8.3641,16.4111,15.564,93.4,FAIL,14.3372,13.9757,FAIL
